group_level,task,model,strategy,n_examples,total_correct,total_tokens,accuracy_mean,token_usage_mean,tokens_per_correct,accuracy_per_1000_tokens
model,,claude,best_of_n,2520,2329.0,972369.0,0.9242063492063493,385.86071428571427,417.50493774151994,2.395181253207373
model,,claude,oracle,2400,2305.0,596078.0,0.9604166666666667,248.36583333333334,258.60216919739696,3.866943587919702
model,,claude,self_refine,2520,2285.0,1647256.0,0.9067460317460317,653.6730158730159,720.8997811816192,1.3871553662575824
model,,claude,single_pass,2520,2324.0,324231.0,0.9222222222222223,128.66309523809525,139.5141996557659,7.167729180738425
model,,gpt,best_of_n,2520,2341.0,1222210.0,0.928968253968254,485.00396825396825,522.0888509184109,1.9153827901915383
model,,gpt,oracle,2400,2311.0,753169.0,0.9629166666666666,313.8204166666667,325.906101254868,3.068368453826432
model,,gpt,self_refine,2520,2298.0,1674312.0,0.9119047619047619,664.4095238095238,728.5953002610966,1.37250404942448
model,,gpt,single_pass,2520,2340.0,407381.0,0.9285714285714286,161.65912698412697,174.09444444444443,5.744008679835338
model,,kimi,best_of_n,2520,2143.0,855865.0,0.8503968253968254,339.62896825396825,399.3770415305646,2.5038995635993992
model,,kimi,oracle,2400,2165.0,533628.0,0.9020833333333333,222.345,246.47944572748267,4.057133433777837
model,,kimi,self_refine,2520,2048.0,1437318.0,0.8126984126984127,570.3642857142858,701.8154296875,1.42487605387256
model,,kimi,single_pass,2520,2114.0,285805.0,0.8388888888888889,113.41468253968254,135.19631031220436,7.396651563128707
model,,llama,best_of_n,2520,1227.0,820338.0,0.4869047619047619,325.5309523809524,668.5721271393643,1.4957249328935145
model,,llama,oracle,2400,1408.0,538442.0,0.5866666666666667,224.35083333333333,382.4161931818182,2.614952028259311
model,,llama,self_refine,2520,1126.0,1432050.0,0.44682539682539685,568.2738095238095,1271.802841918295,0.7862853950630215
model,,llama,single_pass,2520,1266.0,274427.0,0.5023809523809524,108.89960317460317,216.76698262243286,4.613248696374628
model,,qwen,best_of_n,2520,1461.0,914150.0,0.5797619047619048,362.7579365079365,625.7015742642026,1.5982059837007057
model,,qwen,oracle,2400,1512.0,588827.0,0.63,245.34458333333333,389.4358465608466,2.5678170328466594
model,,qwen,self_refine,2520,1391.0,1402376.0,0.551984126984127,556.4984126984127,1008.1782890007189,0.9918880528474532
model,,qwen,single_pass,2520,1463.0,304653.0,0.5805555555555556,120.89404761904763,208.23855092276145,4.8021847807177345
model_task,arc,claude,best_of_n,800,760.0,235698.0,0.95,294.6225,310.12894736842105,3.224465205474803
model_task,arc,claude,oracle,800,776.0,159194.0,0.97,198.9925,205.14690721649484,4.874555573702526
model_task,arc,claude,self_refine,800,764.0,447266.0,0.955,559.0825,585.4267015706806,1.7081557730746355
model_task,arc,claude,single_pass,800,759.0,78534.0,0.94875,98.1675,103.4703557312253,9.664603865841547
model_task,gsm8k,claude,best_of_n,800,777.0,357581.0,0.97125,446.97625,460.2072072072072,2.1729342442691304
model_task,gsm8k,claude,oracle,800,789.0,241995.0,0.98625,302.49375,306.71102661596956,3.260397942106242
model_task,gsm8k,claude,self_refine,800,774.0,564195.0,0.9675,705.24375,728.9341085271318,1.3718661101215004
model_task,gsm8k,claude,single_pass,800,773.0,119341.0,0.96625,149.17625,154.38680465717982,6.477237495915067
model_task,humaneval,claude,best_of_n,120,118.0,95248.0,0.9833333333333333,793.7333333333333,807.1864406779661,1.2388711573996303
model_task,humaneval,claude,self_refine,120,118.0,131585.0,0.9833333333333333,1096.5416666666667,1115.1271186440679,0.8967587490975415
model_task,humaneval,claude,single_pass,120,118.0,31757.0,0.9833333333333333,264.64166666666665,269.1271186440678,3.715716220045974
model_task,truthfulqa,claude,best_of_n,800,674.0,283842.0,0.8425,354.8025,421.1305637982196,2.374560494923232
model_task,truthfulqa,claude,oracle,800,740.0,194889.0,0.925,243.61125,263.3635135135135,3.7970331829913437
model_task,truthfulqa,claude,self_refine,800,629.0,504210.0,0.78625,630.2625,801.6057233704292,1.2474960829812975
model_task,truthfulqa,claude,single_pass,800,674.0,94599.0,0.8425,118.24875,140.3545994065282,7.124811044514213
model_task,arc,gpt,best_of_n,800,780.0,299490.0,0.975,374.3625,383.96153846153845,2.6044275267955523
model_task,arc,gpt,oracle,800,792.0,201638.0,0.99,252.0475,254.59343434343435,3.927831063589205
model_task,arc,gpt,self_refine,800,762.0,465444.0,0.9525,581.805,610.8188976377953,1.6371464665996338
model_task,arc,gpt,single_pass,800,780.0,99280.0,0.975,124.1,127.28205128205128,7.856567284448026
model_task,gsm8k,gpt,best_of_n,800,773.0,429357.0,0.96625,536.69625,555.4424320827943,1.800366594698584
model_task,gsm8k,gpt,oracle,800,785.0,292433.0,0.98125,365.54125,372.5261146496815,2.6843755663690487
model_task,gsm8k,gpt,self_refine,800,768.0,530015.0,0.96,662.51875,690.1236979166666,1.4490155938982858
model_task,gsm8k,gpt,single_pass,800,770.0,143637.0,0.9625,179.54625,186.54155844155844,5.36073574357582
model_task,humaneval,gpt,best_of_n,120,118.0,114716.0,0.9833333333333333,955.9666666666667,972.1694915254237,1.0286272185222638
model_task,humaneval,gpt,self_refine,120,118.0,141551.0,0.9833333333333333,1179.5916666666667,1199.584745762712,0.8336218041553928
model_task,humaneval,gpt,single_pass,120,118.0,38724.0,0.9833333333333333,322.7,328.1694915254237,3.047205867162483
model_task,truthfulqa,gpt,best_of_n,800,670.0,378647.0,0.8375,473.30875,565.144776119403,1.7694580968553824
model_task,truthfulqa,gpt,oracle,800,734.0,259098.0,0.9175,323.8725,352.99455040871936,2.8329049240055886
model_task,truthfulqa,gpt,self_refine,800,650.0,537302.0,0.8125,671.6275,826.6184615384616,1.2097479629705454
model_task,truthfulqa,gpt,single_pass,800,672.0,125740.0,0.84,157.175,187.11309523809524,5.344361380626689
model_task,arc,kimi,best_of_n,800,760.0,231952.0,0.95,289.94,305.2,3.27653997378768
model_task,arc,kimi,oracle,800,786.0,155217.0,0.9825,194.02125,197.4770992366412,5.063878312298266
model_task,arc,kimi,self_refine,800,761.0,409074.0,0.95125,511.3425,537.5479632063075,1.860299114585625
model_task,arc,kimi,single_pass,800,770.0,77287.0,0.9625,96.60875,100.37272727272727,9.9628656824563
model_task,gsm8k,kimi,best_of_n,800,611.0,268094.0,0.76375,335.1175,438.77905073649754,2.279051377501921
model_task,gsm8k,kimi,oracle,800,656.0,197362.0,0.82,246.7025,300.8567073170732,3.3238414689757905
model_task,gsm8k,kimi,self_refine,800,590.0,459869.0,0.7375,574.83625,779.4389830508475,1.2829740643531093
model_task,gsm8k,kimi,single_pass,800,558.0,90045.0,0.6975,112.55625,161.3709677419355,6.196901549225387
model_task,humaneval,kimi,best_of_n,120,107.0,91638.0,0.8916666666666667,763.65,856.4299065420561,1.1676378794823108
model_task,humaneval,kimi,self_refine,120,117.0,123231.0,0.975,1026.925,1053.2564102564102,0.9494364242763591
model_task,humaneval,kimi,single_pass,120,99.0,30411.0,0.825,253.425,307.1818181818182,3.2554010062148566
model_task,truthfulqa,kimi,best_of_n,800,665.0,264181.0,0.83125,330.22625,397.26466165413535,2.517213577055125
model_task,truthfulqa,kimi,oracle,800,723.0,181049.0,0.90375,226.31125,250.41355463347165,3.9933940535435157
model_task,truthfulqa,kimi,self_refine,800,580.0,445144.0,0.725,556.43,767.4896551724138,1.3029491580252683
model_task,truthfulqa,kimi,single_pass,800,687.0,88062.0,0.85875,110.0775,128.18340611353713,7.801321796007358
model_task,arc,llama,best_of_n,800,627.0,218816.0,0.78375,273.52,348.98883572567786,2.8654211757823926
model_task,arc,llama,oracle,800,677.0,152726.0,0.84625,190.9075,225.59231905465288,4.432775035030053
model_task,arc,llama,self_refine,800,508.0,401486.0,0.635,501.8575,790.3267716535433,1.2652994126818868
model_task,arc,llama,single_pass,800,626.0,72885.0,0.7825,91.10625,116.4297124600639,8.588872881937299
model_task,gsm8k,llama,best_of_n,800,232.0,263147.0,0.29,328.93375,1134.2543103448277,0.8816364997510897
model_task,gsm8k,llama,oracle,800,294.0,199712.0,0.3675,249.64,679.2925170068028,1.4721198525877264
model_task,gsm8k,llama,self_refine,800,367.0,479758.0,0.45875,599.6975,1307.2425068119892,0.7649690052067917
model_task,gsm8k,llama,single_pass,800,265.0,88974.0,0.33125,111.2175,335.75094339622643,2.9783981837390696
model_task,humaneval,llama,best_of_n,120,33.0,86485.0,0.275,720.7083333333334,2620.757575757576,0.38156905821818815
model_task,humaneval,llama,self_refine,120,18.0,118097.0,0.15,984.1416666666667,6560.944444444444,0.15241708087419661
model_task,humaneval,llama,single_pass,120,29.0,28648.0,0.24166666666666667,238.73333333333332,987.8620689655172,1.0122870706506564
model_task,truthfulqa,llama,best_of_n,800,335.0,251890.0,0.41875,314.8625,751.9104477611941,1.329945611179483
model_task,truthfulqa,llama,oracle,800,437.0,186004.0,0.54625,232.505,425.6384439359268,2.3494118406055784
model_task,truthfulqa,llama,self_refine,800,233.0,432709.0,0.29125,540.88625,1857.1201716738196,0.53846811598557
model_task,truthfulqa,llama,single_pass,800,346.0,83920.0,0.4325,104.9,242.54335260115607,4.1229742612011435
model_task,arc,qwen,best_of_n,800,723.0,262803.0,0.90375,328.50375,363.4896265560166,2.751110147144439
model_task,arc,qwen,oracle,800,750.0,178282.0,0.9375,222.8525,237.70933333333332,4.206818411281004
model_task,arc,qwen,self_refine,800,695.0,415205.0,0.86875,519.00625,597.4172661870504,1.6738719427752555
model_task,arc,qwen,single_pass,800,723.0,87601.0,0.90375,109.50125,121.16320885200554,8.253330441433317
model_task,gsm8k,qwen,best_of_n,800,144.0,261794.0,0.18,327.2425,1818.013888888889,0.5500508033033606
model_task,gsm8k,qwen,oracle,800,207.0,201823.0,0.25875,252.27875,974.9903381642512,1.0256511894085412
model_task,gsm8k,qwen,self_refine,800,125.0,417671.0,0.15625,522.08875,3341.368,0.299278618817203
model_task,gsm8k,qwen,single_pass,800,144.0,87305.0,0.18,109.13125,606.2847222222222,1.6493900692972912
model_task,humaneval,qwen,best_of_n,120,88.0,93450.0,0.7333333333333333,778.75,1061.9318181818182,0.9416800428036383
model_task,humaneval,qwen,self_refine,120,67.0,121835.0,0.5583333333333333,1015.2916666666666,1818.4328358208954,0.5499240776459966
model_task,humaneval,qwen,single_pass,120,79.0,31046.0,0.6583333333333333,258.71666666666664,392.9873417721519,2.544611222057592
model_task,truthfulqa,qwen,best_of_n,800,506.0,296103.0,0.6325,370.12875,585.1837944664031,1.708864820687396
model_task,truthfulqa,qwen,oracle,800,555.0,208722.0,0.69375,260.9025,376.07567567567565,2.6590392962888436
model_task,truthfulqa,qwen,self_refine,800,504.0,447665.0,0.63,559.58125,888.2242063492064,1.1258418683613862
model_task,truthfulqa,qwen,single_pass,800,517.0,98701.0,0.64625,123.37625,190.9110251450677,5.238042167759192
